surface,letters,count,kind,reusable,seen_in,example_clue,example_answer
key in,DIAL,1,synonym,yes,20260711-23A,"Festival key in India, taking short week",DIWALI
kill,SLAY,1,synonym,yes,20260716-5D,Lose track of road kill,MISLAY
kind of music,ROCK,1,synonym,yes,20260723-6D,Kind of music benefit including core from Monty Python,ROCKSNAKE
king,K,1,abbreviation,yes,20260717-21A,Performed round with King’s Singer,NARK
king,R,1,abbreviation,yes,20260722-1D,King feeding another man peach snack,PRAWNCRACKER
kinky sex,SM,1,abbreviation,yes,20260702-1D,Astounded work supported kinky sex breaks,GOBSMACKED
knock,DIS,1,synonym,yes,20260703-18A,"Knock, making audible sound",DISCERNING
l,FIFTY,1,roman,yes,20260718-27A,N + L – F? Neat,NIFTY
labour group,MOMENTUM,1,other,yes,20260721-3D,Fold Labour group after losing leader,OMENTUM
lad,SON,1,synonym,yes,20260715-24A,Radioactive element one’s lad found around Georgia,OGANESSON
lager,PILS,1,synonym,yes,20260720-4D,De Gaulle’s veto on return of lager designed to prevent accidents,NONSLIP
lanthanum,LA,1,chemical,yes,20260710-8D,Lanthanum used in reconstruction of Nordic warship,IRONCLAD
large vessel,ARK,1,synonym,yes,20260707-6D,Earl to supply large vessel with guns and flag,EARMARK
last month,ULT,1,abbreviation,no,20260710-16D,Dreadful tedium gripping last month’s host,MULTITUDE
last of bed,D,1,other,no,20260718-12A,Fantasise removing last of bed sheets,REAM
last of our,R,1,other,no,20260630-22A,"Easily touched, offer last of our warm blankets",TENDERHEARTED
last of smoke,BUTT,1,synonym,no,20260715-17A,Last of smoke swirling around secure kitchen appliance,TWINTUB
last to speak,K,1,other,no,20260629-17A,Quiet old Conservative Big Beast last to speak in vibrant tone,SHOCKINGPINK
lavatory,LOO,1,synonym,yes,20260629-20A,"More depressed, with nasty grime covering lavatory",GLOOMIER
law,RULE,1,synonym,yes,20260714-9A,Mike Pence breaking law in disorder,RUMPLE
lawsuit,CASE,1,synonym,yes,20260713-9A,Feature of US drug lawsuit?,UPPERCASE
lay,SONG,1,synonym,yes,20260630-23D,Lay lisping in minimal underwear,THONG
leap,BOUND,1,synonym,yes,20260711-13D,"Eg “One giant leap”, its location given by Spooner?",SOUNDBITE
learning,LORE,1,synonym,yes,20260721-11A,Learning to control current in river,LOIRE
led,LD,1,other,yes,20260717-16D,Copper led empty investigation up close,CULDESAC
legislation,LAW,1,synonym,yes,20260724-1A,Area partly covered by London legislation to the west?,WALES
less hesitant,SURER,1,synonym,yes,20260713-22A,Money manager less hesitant after rate changes,TREASURER
less wise,DUMBER,1,synonym,yes,20260723-14D,Author’s less wise when book becomes mostly golden,DUMAURIER
let out,EMIT,1,synonym,yes,20260708-1A,"British criminal gang let out — in retrospect, a disaster waiting to happen",TIMEBOMB
letters,POST,1,synonym,yes,20260711-17D,Trouble squeezing letters in for marginal note,APOSTIL
level,RAZE,1,synonym,yes,20260706-13A,Put up orator’s level,RAISE
lewis,LEWIS,1,place,yes,20260711-12A,"Cycling round Lewis, see western one?",ISLE
libertine,RAKE,1,synonym,yes,20260716-2D,Wildly enthusiastic about new libertine one found in bed,MANDRAKE
lie,FIB,1,synonym,yes,20260724-23A,Lie on thin bit of fabric,FIBRE
lieutenant,LT,1,abbreviation,yes,20260629-23A,Last lieutenant stationed in United India and China,ULTIMATE
light,OUT,1,synonym,yes,20260708-4D,Weird light has somewhat visible border?,OUTLANDISH
like,AS,1,synonym,yes,20260717-27A,Like to enter clubs wearing golf jacket,CASING
like <i>wyrd sister</i>’s,HAGGISH,1,synonym,yes,20260703-25A,Almost entirely like <i>Wyrd Sister</i>’s mix of meaty morsels,HAGGIS
like many police officers,UNIFORMED,1,synonym,no,20260714-11A,"Ignorant, like many police officers patrolling centre of Swansea",UNINFORMED
like that,SIC,1,foreign,yes,20260722-8A,"Star student, when is first in theory, receives prize like that",ASTROPHYSICIST
lima,L,1,nato,yes,20260630-10A,"Soldiers left Lima, fleeing from floozy",TROOP
limit,T,1,single-letter,yes,20260720-16D,Uninhibited live artist close to limit in song,LIBERATED
limited,BRIEF,1,synonym,yes,20260723-19A,Extremely limited art offering information?,BRIEFEST
line,HOUSE,1,synonym,yes,20260718-1A,Possible putter’s line for nineteenth hole?,CLUBHOUSE
liquid waste,URINE,1,synonym,yes,20260717-2D,One’s leaving most of liquid waste in vessel,URN
listener,EAR,1,synonym,yes,20260714-13D,"Setter penning Listener, although missing last piece of mechanism",GEARWHEEL
litre,L,1,abbreviation,yes,20260711-7D,Litre per person let out through porous material,LEACH
litter,FARROW,1,synonym,yes,20260701-23D,Pointer litter abandoned by female,ARROW
little pet,PUP,1,synonym,yes,20260716-22D,Little pet I don’t know catches a church mouse,PAUPER
live,BE,1,synonym,yes,20260720-16D,Uninhibited live artist close to limit in song,LIBERATED
lives,IS,1,synonym,yes,20260720-27A,Record lives in centre of US politics,DISC
long time,ETERNITY,1,synonym,yes,20260715-8D,A long time dismissing first English doctor in confused situation may be sign of pregnancy,MATERNITYDRESS
look,LO,1,other,yes,20260723-5A,"Perhaps deodorant can look desperate, going back on area",AEROSOL
los angeles,LA,1,place,yes,20260716-8D,Los Angeles Gazette finally covers bridge game,LACROSSE
losing,LAST,1,synonym,yes,20260724-17A,"Grafter losing in photo finish for medals, pressure showing",PLASTICSURGEON
loud,F,1,music,yes,20260724-25A,Revised dates agreed after loud festival,FEASTDAY
louisiana,LA,1,abbreviation,yes,20260710-14D,"Perhaps a blow, being all in when Louisiana stands for America",EXHALATION
love,L,1,single-letter,yes,20260720-18D,"Thanks boyfriend, introducing beginning of love scene",TABLEAU
low,BASE,1,synonym,yes,20260708-16D,Low bar having nothing to justify it,BASELESS
made a mistake,ERRED,1,synonym,yes,20260721-28A,"Investigator made a mistake, being put off",DETERRED
made anxious,ATE,1,synonym,yes,20260701-9D,Made anxious under previous religious office,PRIORATE
mafia,M,1,other,yes,20260703-3D,"Begrudge supporting old leader of mafia shot here, there and everywhere",OMNIPRESENT
make a mistake,ERR,1,synonym,yes,20260718-5D,Make a mistake with my delivery person,ERRANDBOY
make a move quickly,LEGIT,1,synonym,no,20260723-8D,Proper to make a move quickly before I move to end the game,LEGITIMATE
makes moist,WETS,1,synonym,yes,20260711-18A,Cook makes moist rolls,STEW
male,HE,1,synonym,yes,20260701-24D,Caught male with female cook,CHEF
male,MAN,1,synonym,yes,20260724-7D,Male genes modified to limit alpha element,MANGANESE
man,M,1,other,yes,20260703-6D,Restrict man’s starting blocks with pistol and stopwatch possibly,TIMEPIECE
man,GENT,1,synonym,yes,20260706-25A,Paint holy man taking Mass,PIGMENT
managed,LED,1,synonym,yes,20260722-23D,I managed to grab sunbed in the end — and took it easy,IDLED
management,CHIEF,1,synonym,yes,20260704-8D,What Bond says regarding management shenanigans?,MISCHIEF
manager’s,M,1,single-letter,yes,20260721-14A,Corruption of company manager’s first seen in witness statement,DECOMPOSITION
mapmakers,OS,1,abbreviation,yes,20260717-1D,Parties of amateur mapmakers hiked up sierra,SOCIALS
marking,SCAR,1,synonym,yes,20260717-1A,Vehicle marking cops?,SQUADCAR
marriage,UNION,1,synonym,yes,20260630-25A,Nothing for you in marriage — it causes tears,ONION
married,M,1,abbreviation,yes,20260630-7D,Couple married in bustling Soweto,TWOSOME
martian moon,PHOBOS,1,other,yes,20260707-21D,Those without residence first to leave Martian moon,HOBOS
mass,M,1,abbreviation,yes,20260706-25A,Paint holy man taking Mass,PIGMENT
match,VESTA,1,synonym,yes,20260714-2D,Language once used in a northern boxing match,AVESTAN
match official,VAR,1,abbreviation,yes,20260716-1D,"I throw up over match official, one Simon",BOLIVAR
mate,COPULATE,1,synonym,yes,20260714-25A,Order policeman to leave mate following cigarette,TABULATE
mate with,TUP,1,synonym,yes,20260630-5A,Celebrity mate with new business,STARTUP
material,REP,1,synonym,yes,20260707-2D,Daft mimicry always includes elevated material,APERY
mature,GROW UP,1,synonym,yes,20260703-11A,"Dad, mature, with wife leaving Chicago?",POPGROUP
maureen,MO,1,abbreviation,yes,20260703-9A,Maureen blasted romantic mag showing personal letters,MONOGRAMMATIC
meal,LUNCH,1,synonym,yes,20260718-14A,Suspicion of hot meal that’s left out,HUNCH
meat,LIVER,1,synonym,yes,20260707-11D,Deprived character of duck meat on bread roll,OLIVERTWIST
meat,LAMB,1,synonym,yes,20260714-6D,Red meat course mostly terrible,LAMBRUSCO
medals,S,1,other,yes,20260724-17A,"Grafter losing in photo finish for medals, pressure showing",PLASTICSURGEON
men,OR,1,abbreviation,yes,20260704-21D,"Blair’s men, fully",ORWELL
mercedes,CE,1,other,yes,20260701-17D,"Test 1960s car model — very old Mercedes, essentially",VIVAVOCE
middle of kitchen,C,1,other,no,20260706-12A,"Cleanser in middle of kitchen getting on with stuff, filled with energy",COLDCREAM
middle of speech,EE,1,other,no,20260706-2D,Instruction to express impatience with delay in middle of speech,TUTELAGE
midland city,WORCESTER,1,place,yes,20260710-5D,Estate possibly blocking two thirds of Midland city upset intimidating figure in his field?,SCARECROW
mike,M,1,nato,yes,20260714-9A,Mike Pence breaking law in disorder,RUMPLE
miles,M,1,abbreviation,yes,20260710-17D,Airborne pest miles over southern capital,MOSQUITO
minister,REV,1,abbreviation,yes,20260724-19D,Come back to minister — can that be true?,REVISIT
minute,MIN,1,abbreviation,yes,20260711-24A,Last minute cuts restored later,TERMINAL
missed,MIS,1,other,yes,20260716-5A,"Spender rarely missed beer, half of each",MISER
model,TEMP,1,synonym,yes,20260724-26A,Rate model making late start in occupation,TEMPO
modest conveyance,TRIKE,1,synonym,yes,20260716-13A,"Sitting astride modest conveyance hard, a few make strong impression",STRIKEHOME
monarch,KING,1,synonym,yes,20260706-6D,"Estimation of position that’s insensitive about country’s leader, monarch carrying on",DEADRECKONING
money,BRASS,1,synonym,yes,20260714-1A,Money goes back and forth for essentials,BRASSTACKS
month,M,1,abbreviation,yes,20260704-6D,One admitted being restless as month turns to November,INPATIENT
monty,N,1,single-letter,yes,20260723-6D,Kind of music benefit including core from Monty Python,ROCKSNAKE
mooch,DALLY,1,synonym,yes,20260716-21D,"In a perfect world, I mooch around rear of house",IDEALLY
mortar,POINTING,1,synonym,yes,20260711-19A,Trench mortar on day one not going off as hoped,DISAPPOINTING
mothers,MAS,1,abbreviation,yes,20260702-23D,Religious festival widely celebrated by mothers,XMAS
move to end the game,MATE,1,chess,no,20260723-8D,Proper to make a move quickly before I move to end the game,LEGITIMATE
move towards,COME,1,synonym,yes,20260723-21D,Red setter’s about to move towards guards,COMMIE
movie award,OSCAR,1,synonym,yes,20260715-5D,Limits to Universal blocking movie award regarding kissing,OSCULAR
much appreciated,TA,1,other,yes,20260723-17A,Much appreciated state of unconsciousness in US city,TACOMA
muddle,MESS,1,synonym,yes,20260706-5D,"Cleaner, left in muddle, having no appeal",CHARMLESS
mughal’s crown,M,1,other,yes,20260724-22D,Dark room with throne beneath Grand Mughal’s crown,GLOOM
mum,MA,1,synonym,yes,20260629-24D,Mum! New fella?,MAN
music award,GRAMMY,1,synonym,yes,20260716-12A,"School music award missing year, a choir’s last",GRAMMAR
my,LORD,1,synonym,yes,20260708-11A,Order around my relations again,LORDITOVER
my,MY,1,other,yes,20260716-4D,Put fine glue on my doodah,THINGUMMY
my,BOY,1,synonym,yes,20260718-5D,Make a mistake with my delivery person,ERRANDBOY
n,N,1,other,yes,20260718-27A,N + L – F? Neat,NIFTY
namely,SC,1,abbreviation,yes,20260714-5D,"Part of the neck, namely the hair around it",SCRUFF
narrow path,ALLEY,1,synonym,yes,20260710-2D,"Taking the Tube, run provided narrow path for divided area",RIFTVALLEY
national,SWISS,1,synonym,yes,20260720-8D,National register for part of final course,SWISSROLL
nation’s poet,LAUREATE,1,synonym,yes,20260714-18D,Nation’s poet loses pound of gold,AUREATE
needing water,DRY,1,synonym,yes,20260708-22A,Fish needing water that’s oxygenated,DORY
network,LAN,1,abbreviation,yes,20260720-12A,Plug in hosts connected to revolutionary network: cause of power surge?,ADRENALIN
new,E,1,single-letter,yes,20260701-19D,Plant centre in New Guinea flourishing,EUGENIA
nigh,CLOSE,1,synonym,yes,20260721-9D,Reveal end of world is nigh,DISCLOSE
nobleman,COUNT,1,synonym,yes,20260715-13D,Financial activity pre-empting any return from grasping nobleman,ACCOUNTING
non-negotiable,E,1,single-letter,yes,20260702-1A,Tie in school ultimately non-negotiable,GAME
noon,N,1,abbreviation,yes,20260629-1A,"Around noon, day before, say Black Prince danced with her",CINDERELLA
not available,NA,1,abbreviation,yes,20260724-16D,A certain stage not available to North Hollywood resident?,ANGELENO
not entirely,HALF,1,synonym,yes,20260710-18A,"Sucker pronounced not entirely safe, idiomatically",APHID
note,A,1,music,yes,20260704-16A,Note chlorine in what might be maple syrup,TREACLE
note,N,1,abbreviation,yes,20260715-19D,"Want expert to contain agricultural disease, note",ABSENCE
november,N,1,nato,yes,20260704-6D,One admitted being restless as month turns to November,INPATIENT
now,PRESENT,1,synonym,yes,20260711-3D,Republicans’ preferred leader now concealing identity,PRESIDENT
now,HERE,1,synonym,yes,20260724-3D,"Drunk now, like it or not",SOTHERE
nude,BARE,1,synonym,yes,20260715-18D,"Drink provider, almost nude, is on <i>Cheers</i>",BARISTA
object,END,1,synonym,yes,20260722-26A,Object that’s sensitive gift,ENDOW
obscene,LEWD,1,synonym,yes,20260701-20A,"Remained twisted, tense and obscene",DWELT
obsessive,ANAL,1,synonym,yes,20260717-14D,Corporal’s obsessive checking of smallest thing,ANATOMICAL
obsessive behaviour,OCD,1,abbreviation,yes,20260707-5D,Terriers beset by obsessive behaviour in four pairs?,OCTAD
obstruction,BLOCK,1,synonym,yes,20260716-15A,No end of obstruction for co-operating parties,BLOC
occupation,O,1,other,yes,20260724-26A,Rate model making late start in occupation,TEMPO
odds,SP,1,abbreviation,yes,20260706-20D,Odds linked to place on ladder jumped,SPRUNG
of,S,1,other,yes,20260720-6A,Painter of Henry V as a young man,HALS
offer,TENDER,1,synonym,yes,20260630-22A,"Easily touched, offer last of our warm blankets",TENDERHEARTED
old,EX,1,synonym,yes,20260707-17A,Superb basic unit in old hospital department,EXCELLENT
old city,ILIUM,1,place,yes,20260721-25D,Report of old city’s section of canal,ILEUM
old woman,GRAN,1,synonym,yes,20260717-9D,An old woman adopting stuck-up air of cultivation,AGRARIAN
once had sex with,KNEW,1,synonym,no,20260708-13A,Presenter reportedly once had sex with failed actress,NEWSCASTER
once known as,NEE,1,synonym,yes,20260702-19A,Vegetables once known as “hollow potatoes”,NEEPS
one,ONE,1,synonym,yes,20260703-12D,Protest band from US — one containing guitar,REMONSTRATE
one of seven,HAPPY,1,other,yes,20260702-24A,"Carefree on leaving show, one of seven heading for better parts",DEMOBHAPPY
one’s,ONES,1,synonym,yes,20260715-24A,Radioactive element one’s lad found around Georgia,OGANESSON
one’s,I,1,roman,yes,20260717-2D,One’s leaving most of liquid waste in vessel,URN
only,SOLE,1,synonym,yes,20260714-15D,Only home with motorway running through it is extremely awe-inspiring,SOLEMNEST
onset of ardent,A,1,other,yes,20260629-10A,Onset of ardent romance when touring Cape Bay,ALCOVE
open,OVERT,1,synonym,yes,20260708-9A,Open University study halved proposal,OVERTURE
order,OM,1,abbreviation,yes,20260630-27A,Disgusting racket stopped by order,NOISOME
order of merit,OM,1,abbreviation,yes,20260716-17D,"With order of merit covering uniform, eat soup",CONSOMME
organ,EAR,1,synonym,yes,20260721-27A,"Home, comfortable one housing organ, seriously!",INEARNEST
other than,SAVE,1,synonym,yes,20260704-22A,Who works hard other than grasping Liberal club,SLAVEDRIVER
others,REST,1,synonym,yes,20260713-12A,Control of retinue taken by others,RESTRAINT
our team,US,1,synonym,yes,20260715-14A,"Eliminates our team, enthralling billions in big defeat",RUBSOUT
out of this world,ET,1,abbreviation,no,20260721-12A,"Artist, fellow out of this world",MANET
outfit,DRESS,1,synonym,yes,20260714-21D,Outlet for one topless outfit,EGRESS
outlaw’s lover,MARIAN,1,other,yes,20260630-6D,Legendary outlaw’s lover ditching male and seizing day,ARTHURIAN
outstanding,OWING,1,synonym,yes,20260710-26D,Nothing detracted from outstanding side of building,WING
over,O,1,cricket,yes,20260710-17D,Airborne pest miles over southern capital,MOSQUITO
own goal,OG,1,abbreviation,yes,20260711-11A,Censure own goal during tie to remain in league,STICKTOGETHER
oxygenated,O,1,chemical,yes,20260708-22A,Fish needing water that’s oxygenated,DORY
paper boss,ED,1,abbreviation,yes,20260721-13A,Handler of money paper boss sacked,CASHIERED
park,AR,1,other,yes,20260723-3D,Shower in middle of Park Row,ARROW
part of apple,CORE,1,synonym,yes,20260713-23A,People working together in part of Apple broadcast?,CORPS
part of book,PAGE,1,synonym,yes,20260714-20D,Amount of distortion in part of book about conflict?,WARPAGE
particular,THE,1,synonym,yes,20260722-25A,"Polar bear’s back, on returning with particular force?",NORTHERN
parties,BASHES,1,synonym,yes,20260714-14A,Residue from parties initially ignored,ASHES
partly covered by london,SE,1,place,no,20260724-1A,Area partly covered by London legislation to the west?,WALES
parts of ireland,ROI/NI,1,place,yes,20260708-2D,Centre backed arrests regularly dividing parts of Ireland,INTERIOR
party,DO,1,synonym,yes,20260629-3D,Finish off drug propping up party animal,DOG
party,RAVE,1,synonym,yes,20260722-11A,Valorous British party,BRAVE
party,GALA,1,synonym,yes,20260723-13A,A gracious party hosting 500? It’s a bit of a thinker,AMYGDALA
party perhaps,FUNCTION,1,synonym,yes,20260718-2D,What comforts party perhaps as following disappears,UNCTION
pass,COL,1,synonym,yes,20260702-15A,Stomach pains pass if caught in the earliest stages,COLIC
patriarch,JOB,1,synonym,yes,20260722-6D,Patriarch embraces Rebecca and Isaac ultimately — their son?,JACOB
pay for services rendered,REWARD,1,synonym,no,20260701-28A,Artist’s back pay for services rendered,DRAWER
peach,CRACKER,1,synonym,yes,20260722-1D,King feeding another man peach snack,PRAWNCRACKER
peg,TEE,1,synonym,yes,20260722-16D,Show peg pinning casual garment,TELEVISE
pence,P,1,abbreviation,yes,20260714-9A,Mike Pence breaking law in disorder,RUMPLE
penny,P,1,abbreviation,yes,20260720-14A,"Catch without licence, exchanging penny for river fish",ROACH
people collectively,MANKIND,1,synonym,yes,20260630-18D,Short people collectively bolstered by current swimsuit style,MANKINI
per person,EACH,1,synonym,yes,20260711-7D,Litre per person let out through porous material,LEACH
performed,RAN,1,synonym,yes,20260717-21A,Performed round with King’s Singer,NARK
person choosing,SELECTOR,1,synonym,yes,20260708-18D,Person choosing to have 100 plus soldiers promoted for protection,CORSELET
person of great strength,TITAN,1,synonym,no,20260708-27A,Person of great strength consumed salt,TITANATE
peter,PIPER,1,other,yes,20260703-13A,"In rhyme, Peter periodically raves about superb peppers",PIPERACEAE
photo,PIC,1,synonym,yes,20260724-17A,"Grafter losing in photo finish for medals, pressure showing",PLASTICSURGEON
pieces,MEN,1,chess,yes,20260715-23D,Options to be selected from pieces supported by you,MENU
pig-farmer,STY,1,other,yes,20260710-20A,Designer of roster for pig-farmer?,STYLIST
pistol,PIECE,1,synonym,yes,20260703-6D,Restrict man’s starting blocks with pistol and stopwatch possibly,TIMEPIECE
place on ladder,RUNG,1,synonym,yes,20260706-20D,Odds linked to place on ladder jumped,SPRUNG
plain,BARE,1,synonym,yes,20260724-15D,"Decent plain rounds within compass of bell-ringer, nearly",TOLERABLE
plan,DESIGN,1,synonym,yes,20260704-2D,Change of plan about new flag,REDENSIGN
plug,AD,1,synonym,yes,20260720-12A,Plug in hosts connected to revolutionary network: cause of power surge?,ADRENALIN
plural pronoun,WE,1,other,yes,20260710-25A,Single or plural pronoun in conjunction for Germans,UNWED
poets,BARDS,1,synonym,yes,20260704-19A,Guts of pub poets starting late,INNARDS
point,NUB,1,synonym,yes,20260714-3D,Court raised point during judicial examination,TRIBUNAL
police,CID,1,abbreviation,yes,20260706-19D,"Pursued by police, rushed off",RANCID
policeman,COP,1,synonym,yes,20260714-25A,Order policeman to leave mate following cigarette,TABULATE
policeman’s first,P,1,other,no,20260630-1A,Where policeman’s first introduced to truncheon work?,COPSHOP
politician,MP,1,abbreviation,yes,20260714-6A,Liberal politician taking a hit,LAMP
porter,ALE,1,synonym,yes,20260715-12A,Clever book penned by Porter?,ABLE
positively helpful,CANDO,1,synonym,yes,20260711-5D,"Honesty positively helpful with jury, getting case dismissed",CANDOUR
possible putter,CLUB,1,synonym,yes,20260718-1A,Possible putter’s line for nineteenth hole?,CLUBHOUSE
potatoes,PS,1,other,yes,20260702-19A,Vegetables once known as “hollow potatoes”,NEEPS
potentially shocking,LIVE,1,synonym,yes,20260721-23D,Female potentially shocking? Nothing on top!,OLIVE
pound,L,1,abbreviation,yes,20260714-18D,Nation’s poet loses pound of gold,AUREATE
pre-empting any return,ACING,1,synonym,yes,20260715-13D,Financial activity pre-empting any return from grasping nobleman,ACCOUNTING
prepared,DID,1,synonym,yes,20260701-14A,Psalmist prepared seventeenth-century bible lines,DAVID
presentation,TALK,1,synonym,yes,20260717-18A,Save short presentation after area meeting at an end,ABUTTAL
pressure,URGE,1,synonym,yes,20260724-17A,"Grafter losing in photo finish for medals, pressure showing",PLASTICSURGEON
previous,PRIOR,1,synonym,yes,20260701-9D,Made anxious under previous religious office,PRIORATE
printmaker,ETCHER,1,synonym,yes,20260724-20A,Famous printmaker saving a frame for painting,STRETCHER
prior to,PRE,1,abbreviation,yes,20260704-11A,What navy did to recruit prior to steamship,PRESS
prize,TROPHY,1,synonym,yes,20260722-8A,"Star student, when is first in theory, receives prize like that",ASTROPHYSICIST
prize at the end,E,1,other,no,20260713-14D,Artist’s work wins top prize at the end,LANDSCAPE
processing unit,CHIP,1,synonym,yes,20260711-14A,"Processing unit collects university fees, assisting ministry",CURATESHIP
product of eg berkshire,HAM,1,other,no,20260723-20D,7 almost lifted product of eg Berkshire town,EVESHAM
profound,DEEP,1,synonym,yes,20260714-8A,Profound touch barely registered in act of passion,DEEPKISS
provide,CATER,1,synonym,yes,20260720-2D,Beastly noise — provide barrier for ears,CATERWAUL
psychic ability,ESP,1,abbreviation,yes,20260718-20A,See psychic ability decay finally,ESPY
publication,MAG,1,abbreviation,yes,20260706-14A,Superb quality in publication with good binding provided by New Church,MAGNIFICENCE
pudding,ROLY,1,synonym,yes,20260723-2D,"How unpleasant to cut half of pudding, or thereabouts",ROUGHLY
punish,CANE,1,synonym,yes,20260718-15D,Scream about husband I punish for deceitfulness,CHICANERY
question,QUERY,1,synonym,yes,20260710-9A,Trick question curtailed win,CONQUER
quiet,SH,1,synonym,yes,20260629-17A,Quiet old Conservative Big Beast last to speak in vibrant tone,SHOCKINGPINK
quiet,P,1,music,yes,20260703-16A,Witch-hunt brushing aside quiet advocate,URGE
quietly,SH,1,other,yes,20260702-10A,Doctor and sister starting round quietly in formal attire,DRESSSHIRT
race,FLY,1,synonym,yes,20260708-25A,Angers friend involved in race relations,FAMILY
racket,NOISE,1,synonym,yes,20260630-27A,Disgusting racket stopped by order,NOISOME
rapidly,RY,1,other,yes,20260630-13A,Cross dons can rapidly empty chat room,LOCUTORY
rather rowdy,LOUDISH,1,synonym,yes,20260707-18D,"Uncouth, rather rowdy: time to replace Democrat",LOUTISH
raves,AE,1,other,yes,20260703-13A,"In rhyme, Peter periodically raves about superb peppers",PIPERACEAE
reading perhaps,R,1,other,yes,20260707-8D,"Essential fact about English team, Reading perhaps",DESIDERATUM
ready to be fired,PRIME,1,synonym,no,20260724-4A,Poorly rated deputy ready to be fired,SUBPRIME
really,VERY,1,synonym,yes,20260701-26A,Grass company really cutting back parts obtained from waste,RECOVERED
rebecca,A,1,single-letter,yes,20260722-6D,Patriarch embraces Rebecca and Isaac ultimately — their son?,JACOB
receive,HAVE,1,synonym,yes,20260701-25A,Safe place to receive focus of attention,HAVEN
record,ANNAL,1,synonym,yes,20260704-29A,Head of enterprise in record temper,ANNEAL
record,EP,1,abbreviation,yes,20260706-23D,Storehouse in spot holding record,DEPOT
register,ROLL,1,synonym,yes,20260720-8D,National register for part of final course,SWISSROLL
relations,IT,1,synonym,yes,20260708-11A,Order around my relations again,LORDITOVER
remains,IS,1,synonym,yes,20260711-5A,Constant husband charged with fling remains grumpy,CHURLISH
renegade,RAT,1,synonym,yes,20260707-25A,Renegade wife tucked into ruptured sausage,BRATWURST
repaired,MENDED,1,synonym,yes,20260701-18A,Table designer’s almost repaired exposed tube,MENDELEEV
resistance,R,1,abbreviation,yes,20260711-21D,Bottle still spinning overcomes resistance,NERVE
resolute,GRIM,1,synonym,yes,20260707-22A,"Religious traveller turning cheek, resolute",PILGRIM
respect,DEFERENCE,1,synonym,yes,20260708-17A,I’m not sure what to say out of respect for legal argument,DEFENCE
restrict,TIE,1,synonym,yes,20260703-6D,Restrict man’s starting blocks with pistol and stopwatch possibly,TIMEPIECE
retinue,TRAIN,1,synonym,yes,20260713-12A,Control of retinue taken by others,RESTRAINT
retreat,DEN,1,synonym,yes,20260706-26A,"Decline, for example, going into retreat ending in terrible cost",DEGENERATE
right,DROIT,1,foreign,yes,20260704-13A,Misuse needles right outside former church,DROPASTITCH
river,URE,1,place,yes,20260701-16A,"Risky undertaking, coming by river",ADVENTURE
river,EXE,1,place,yes,20260717-12D,Estate managers cut cereal crops south of river,EXECUTRICES
rivers,R,1,abbreviation,yes,20260629-4D,Two different rivers associated with country,RURAL
rivers,URAL,1,place,yes,20260629-4D,Two different rivers associated with country,RURAL
road,RD,1,abbreviation,yes,20260703-17D,Car missing rear end blocking road over a Welsh river,RHONDDA
road,MI,1,abbreviation,yes,20260716-5D,Lose track of road kill,MISLAY
romance,LOVE,1,synonym,yes,20260629-10A,Onset of ardent romance when touring Cape Bay,ALCOVE
room with throne,LOO,1,synonym,yes,20260724-22D,Dark room with throne beneath Grand Mughal’s crown,GLOOM
roster,LIST,1,synonym,yes,20260710-20A,Designer of roster for pig-farmer?,STYLIST
rovers,HOBOS,1,synonym,yes,20260717-5A,Orbiter linked to Mars rovers on surface of planet,PHOBOS
rows,LINES,1,synonym,yes,20260706-22A,Piety in turn followed by rows between daughter and son,GODLINESS
rubbish,TAT,1,synonym,yes,20260707-1A,Second city storing rubbish in pile,STATELYHOME
ruckus,MELEE,1,synonym,yes,20260722-17A,African driver’s ruckus while being driven?,CAMELEER
run,R,1,cricket,yes,20260710-2D,"Taking the Tube, run provided narrow path for divided area",RIFTVALLEY
ruptured,BURST,1,synonym,yes,20260707-25A,Renegade wife tucked into ruptured sausage,BRATWURST
rush,RACE,1,synonym,yes,20260724-9A,Leaders muddled in battle rush order to reorient troops,RIGHTFACE
rushed,RAN,1,synonym,yes,20260706-19D,"Pursued by police, rushed off",RANCID
safe,HID,1,synonym,yes,20260710-18A,"Sucker pronounced not entirely safe, idiomatically",APHID
safe,PETER,1,synonym,yes,20260718-8D,Measuring device’s safe when put round head,PEDOMETER
salad plant,CELERY,1,synonym,yes,20260716-16D,"Dispatch salad plant, having wrapped it",CELERITY
"saloon, perhaps",CAR,1,synonym,yes,20260713-23D,"Smoke starts to intoxicate gamblers inside saloon, perhaps",CIGAR
save,BUT,1,synonym,yes,20260717-18A,Save short presentation after area meeting at an end,ABUTTAL
say,EG,1,abbreviation,yes,20260703-24D,"Say, goose’s beginning",EGG
say,UTTER,1,synonym,yes,20260724-14A,"Bachelor say, if gender reassigned, probably missing balls?",BUTTERFINGERED
say black,CILLA,1,other,yes,20260629-1A,"Around noon, day before, say Black Prince danced with her",CINDERELLA
saying,SAW,1,synonym,yes,20260703-6A,"Fuss, saying instruction to boxer making comeback?",TISWAS
scheme,PLAN,1,synonym,yes,20260701-4A,Vulgar scheme involves English bishop that is retiring,PLEBEIAN
school,GAM,1,synonym,yes,20260702-1A,Tie in school ultimately non-negotiable,GAME
school,ETON,1,place,yes,20260713-10A,Admit to knowing head of local school,LETON
scottish island,MULL,1,place,yes,20260716-26A,"Cold temperature on Scottish island, mostly fine",MULCT
